date,repo,category,stars,forks,watchers,open_issues,size_kb,days_since_push,language,license,release_tag,days_since_release,pypi_version,pypi_releases,pypi_cadence_days,requires_python
2026-08-23,ClickHouse/ClickHouse,database,49403,8848,684,7022,11381101,0,C++,Apache-2.0,v26.3.21.7-lts,1,,,,
2026-08-24,ClickHouse/ClickHouse,database,49405,8850,684,7027,11389185,0,C++,Apache-2.0,v26.3.21.7-lts,1,,,,
2026-08-23,PrefectHQ/prefect,data-engineering,23659,2475,196,854,235728,0,Python,Apache-2.0,3.8.3,9,3.8.3,868,1.0,"<3.15,>=3.10"
2026-08-24,PrefectHQ/prefect,data-engineering,23661,2477,196,856,235728,0,Python,Apache-2.0,3.8.3,10,3.8.3,868,1.0,"<3.15,>=3.10"
2026-08-23,altair-viz/altair,visualisation,10458,866,136,145,121418,7,Python,BSD-3-Clause,v6.2.2,61,6.2.2,67,7.0,>=3.10
2026-08-24,altair-viz/altair,visualisation,10458,866,136,145,121418,7,Python,BSD-3-Clause,v6.2.2,61,6.2.2,67,7.0,>=3.10
2026-08-23,apache/airflow,data-engineering,46587,17657,780,1919,697944,0,Python,Apache-2.0,3.3.1,11,3.3.1,298,4.03,"!=3.15,>=3.10"
2026-08-24,apache/airflow,data-engineering,46590,17661,780,1921,697939,0,Python,Apache-2.0,3.3.1,11,3.3.1,298,4.03,"!=3.15,>=3.10"
2026-08-23,apache/arrow,data-engineering,17043,4252,341,2585,233087,1,C++,Apache-2.0,apache-arrow-25.0.1,13,25.0.1,65,67.73,>=3.10
2026-08-24,apache/arrow,data-engineering,17044,4254,341,2587,233087,1,C++,Apache-2.0,apache-arrow-25.0.1,13,25.0.1,65,67.73,>=3.10
2026-08-23,apache/iceberg,data-engineering,9165,3469,182,925,112136,0,Java,Apache-2.0,apache-iceberg-1.11.0,95,,,,
2026-08-24,apache/iceberg,data-engineering,9165,3470,182,918,112136,0,Java,Apache-2.0,apache-iceberg-1.11.0,95,,,,
2026-08-23,apache/superset,visualisation,74428,18157,1535,627,1122317,0,Python,Apache-2.0,6.1.0,101,6.1.0,83,25.15,>=3.10
2026-08-24,apache/superset,visualisation,74436,18156,1535,627,1122352,0,Python,Apache-2.0,6.1.0,102,6.1.0,83,25.15,>=3.10
2026-08-23,dagster-io/dagster,data-engineering,16051,2255,155,2595,1460989,1,Python,Apache-2.0,1.13.19,2,1.13.19,739,7.03,"<3.15,>=3.10"
2026-08-24,dagster-io/dagster,data-engineering,16055,2256,155,2594,1460989,1,Python,Apache-2.0,1.13.19,2,1.13.19,739,7.03,"<3.15,>=3.10"
2026-08-23,dbt-labs/dbt-core,data-engineering,13681,2518,161,1562,97359,0,Rust,Apache-2.0,v1.12.3,2,1.12.3,359,0.08,>=3.10
2026-08-24,dbt-labs/dbt-core,data-engineering,13682,2518,161,1569,97484,0,Rust,Apache-2.0,v1.12.3,3,1.12.3,359,0.08,>=3.10
2026-08-23,delta-io/delta,data-engineering,8950,2159,236,929,56353,1,Scala,Apache-2.0,v4.4.0,3,,,,
2026-08-24,delta-io/delta,data-engineering,8950,2159,236,929,56353,1,Scala,Apache-2.0,v4.4.0,3,,,,
2026-08-23,django/django,web-backend,88752,34165,2280,469,282140,2,Python,BSD-3-Clause,,,6.1,441,12.79,>=3.12
2026-08-24,django/django,web-backend,88760,34171,2279,468,282129,0,Python,BSD-3-Clause,,,6.1,441,12.79,>=3.12
2026-08-23,dmlc/xgboost,machine-learning,28688,8890,883,422,38298,0,C++,Apache-2.0,v3.4.1,8,3.4.1,97,29.79,>=3.12
2026-08-24,dmlc/xgboost,machine-learning,28689,8890,883,422,38298,0,C++,Apache-2.0,v3.4.1,8,3.4.1,97,29.79,>=3.12
2026-08-23,duckdb/duckdb,data-engineering,40549,3599,268,819,498959,1,C++,MIT,v1.5.5,32,1.5.5,128,0.57,>=3.10.0
2026-08-24,duckdb/duckdb,data-engineering,40553,3600,268,821,498959,1,C++,MIT,v1.5.5,32,1.5.5,128,0.57,>=3.10.0
2026-08-23,encode/httpx,web-backend,15430,1257,139,143,8594,147,Python,BSD-3-Clause,0.28.1,625,0.28.1,76,41.98,>=3.8
2026-08-24,encode/httpx,web-backend,15430,1256,139,143,8594,148,Python,BSD-3-Clause,0.28.1,625,0.28.1,76,41.98,>=3.8
2026-08-23,fastapi/fastapi,web-backend,101787,9807,767,79,55589,4,Python,MIT,0.141.1,25,0.141.1,317,0.07,>=3.10
2026-08-24,fastapi/fastapi,web-backend,101797,9809,767,80,55589,4,Python,MIT,0.141.1,25,0.141.1,317,0.07,>=3.10
2026-08-23,gradio-app/gradio,visualisation,43407,3579,196,174,358370,1,Python,Apache-2.0,gradio@6.25.0,3,6.25.0,674,5.81,>=3.10
2026-08-24,gradio-app/gradio,visualisation,43409,3579,196,170,358723,0,Python,Apache-2.0,gradio@6.25.0,4,6.25.0,674,5.81,>=3.10
2026-08-23,grafana/grafana,platform,76363,14619,1318,3338,1932621,0,TypeScript,AGPL-3.0,v13.2.0,5,,,,
2026-08-24,grafana/grafana,platform,76368,14623,1318,3333,1932873,0,TypeScript,AGPL-3.0,v13.2.0,5,,,,
2026-08-23,hashicorp/terraform,platform,49515,10610,1181,1915,357880,2,Go,NOASSERTION,v1.15.9,4,,,,
2026-08-24,hashicorp/terraform,platform,49522,10610,1181,1915,357880,2,Go,NOASSERTION,v1.15.9,4,,,,
2026-08-23,huggingface/transformers,machine-learning,164365,34334,1226,2406,504343,0,Python,Apache-2.0,v5.15.1,4,5.15.1,239,4.41,>=3.10.0
2026-08-24,huggingface/transformers,machine-learning,164378,34335,1226,2410,504467,0,Python,Apache-2.0,v5.15.1,4,5.15.1,239,4.41,>=3.10.0
2026-08-23,ibis-project/ibis,data-engineering,6639,753,86,524,195052,1,Python,Apache-2.0,12.0.0,197,12.0.0,166,7.0,>=3.10
2026-08-24,ibis-project/ibis,data-engineering,6639,753,86,524,195052,2,Python,Apache-2.0,12.0.0,197,12.0.0,166,7.0,>=3.10
2026-08-23,kubernetes/kubernetes,platform,124924,43905,3258,3010,1510888,2,Go,Apache-2.0,v1.36.4,3,,,,
2026-08-24,kubernetes/kubernetes,platform,124934,43903,3258,3012,1510888,3,Go,Apache-2.0,v1.36.4,3,,,,
2026-08-23,matplotlib/matplotlib,visualisation,23103,8450,580,1471,490225,0,Python,,v3.11.1,36,3.11.1,142,36.05,>=3.11
2026-08-24,matplotlib/matplotlib,visualisation,23104,8452,580,1471,490225,0,Python,,v3.11.1,36,3.11.1,142,36.05,>=3.11
2026-08-23,microsoft/LightGBM,machine-learning,18708,4055,417,510,25485,0,C++,MIT,v4.7.0,35,4.7.0,38,101.11,>=3.10
2026-08-24,microsoft/LightGBM,machine-learning,18709,4055,417,512,25514,0,C++,MIT,v4.7.0,36,4.7.0,38,101.11,>=3.10
2026-08-23,mlflow/mlflow,machine-learning,27630,6205,320,2068,1476997,0,Python,Apache-2.0,v3.15.1,20,3.15.1,184,9.76,>=3.10
2026-08-24,mlflow/mlflow,machine-learning,27634,6209,320,2078,1477424,0,Python,Apache-2.0,v3.15.1,20,3.15.1,184,9.76,>=3.10
2026-08-23,open-telemetry/opentelemetry-collector,platform,7443,2213,89,707,73093,1,Go,Apache-2.0,v0.159.0,6,,,,
2026-08-24,open-telemetry/opentelemetry-collector,platform,7447,2214,89,718,73008,0,Go,Apache-2.0,v0.159.0,6,,,,
2026-08-23,optuna/optuna,machine-learning,14689,1378,122,16,23664,2,Python,MIT,v4.9.0,83,4.9.0,78,63.0,>=3.9
2026-08-24,optuna/optuna,machine-learning,14693,1379,122,16,23664,2,Python,MIT,v4.9.0,83,4.9.0,78,63.0,>=3.9
2026-08-23,pallets/flask,web-backend,72143,16945,2105,3,12368,6,Python,BSD-3-Clause,3.1.3,185,3.1.3,64,110.23,>=3.9
